startdate,enddate,employeekey,parentemployeekey,employeenationalidalternatekey,parentemployeenationalidalternatekey,salesterritorykey,firstname,lastname,middlename,namestyle,title,hiredate,birthdate,loginid,emailaddress,phone,maritalstatus,emergencycontactname,emergencycontactphone,salariedflag,gender,payfrequency,baserate,vacationhours,sickleavehours,currentflag,salespersonflag,departmentname,startdate_2,enddate_2,status
2008-09-26,,201,23,332349500,NULL,11,Lori,Kane,A,0,Production Supervisor - WC45,2008-09-26,1980-02-16,adventure-works\lori0,lori0@adventure-works.com,289-555-0196,S,Lori Kane,289-555-0196,0,F,2,25.0,76,58,1,0,Production,2008-09-26,,Current
2008-09-28,,202,278,792847334,NULL,11,Arvind,Rao,B,0,Buyer,2008-09-28,1974-03-21,adventure-works\arvind0,arvind0@adventure-works.com,848-555-0163,M,Arvind Rao,848-555-0163,0,M,2,18.2692,60,50,1,0,Purchasing,2008-09-28,,Current
2008-09-28,,203,186,621932914,NULL,11,Stefen,Hesse,A,0,Production Technician - WC20,2008-09-28,1975-07-21,adventure-works\stefen0,stefen0@adventure-works.com,165-555-0113,S,Stefen Hesse,165-555-0113,0,M,1,14.0,19,29,1,0,Production,2008-09-28,,Current
2008-09-28,,204,23,398223854,NULL,11,Hazem,Abolrous,E,0,Quality Assurance Manager,2008-09-28,1977-05-26,adventure-works\hazem0,hazem0@adventure-works.com,869-555-0125,S,Hazem Abolrous,869-555-0125,1,M,2,28.8462,80,60,1,0,Quality Assurance,2008-09-28,,Current
2008-09-29,,205,142,519756660,NULL,11,Janet,Sheperdigian,L,0,Accounts Payable Specialist,2008-09-29,1978-10-07,adventure-works\janet0,janet0@adventure-works.com,393-555-0186,M,Janet Sheperdigian,393-555-0186,0,F,2,19.0,64,52,1,0,Finance,2008-09-29,,Current
2008-09-30,,206,76,912141525,NULL,11,Elizabeth,Keyser,I,0,Production Technician - WC50,2008-09-30,1989-08-25,adventure-works\elizabeth0,elizabeth0@adventure-works.com,318-555-0137,M,Elizabeth Keyser,318-555-0137,0,F,1,11.0,5,22,1,0,Production,2008-09-30,,Current
2008-09-30,,207,7,243322160,NULL,11,Terry,Eminhizer,J,0,Marketing Specialist,2008-09-30,1985-09-04,adventure-works\terry0,terry0@adventure-works.com,138-555-0118,M,Terry Eminhizer,138-555-0118,0,M,2,14.4231,44,42,1,0,Marketing,2008-09-30,,Current
2008-10-01,,208,188,568626529,NULL,11,John,Frum,N,0,Production Technician - WC30,2008-10-01,1981-10-22,adventure-works\john3,john3@adventure-works.com,663-555-0172,S,John Frum,663-555-0172,0,M,1,9.5,27,33,1,0,Production,2008-10-01,,Current
2008-10-01,,209,177,301435199,NULL,11,Merav,Netz,A,0,Production Technician - WC30,2008-10-01,1982-12-11,adventure-works\merav0,merav0@adventure-works.com,224-555-0187,M,Merav Netz,224-555-0187,0,F,1,9.5,46,43,1,0,Production,2008-10-01,,Current
2008-10-01,,210,46,368691270,NULL,11,Brian,LaMee,P,0,Scheduling Assistant,2008-10-01,1984-03-11,adventure-works\brian1,brian1@adventure-works.com,313-555-0196,M,Brian LaMee,313-555-0196,0,M,2,16.0,48,44,1,0,Production Control,2008-10-01,,Current
2008-10-02,,211,40,211789056,NULL,11,Kitti,Lertpiriyasuwat,H,0,Production Technician - WC50,2008-10-02,1987-01-04,adventure-works\kitti0,kitti0@adventure-works.com,785-555-0132,S,Kitti Lertpiriyasuwat,785-555-0132,0,F,1,11.0,89,64,1,0,Production,2008-10-02,,Current
2008-10-03,,212,20,63179277,NULL,11,Jay,Adams,G,0,Production Technician - WC60,2008-10-03,1975-09-11,adventure-works\jay0,jay0@adventure-works.com,407-555-0165,S,Jay Adams,407-555-0165,0,M,1,12.45,32,36,1,0,Production,2008-10-03,,Current
2008-10-03,,213,188,587567941,NULL,11,Jan,Miksovsky,S,0,Production Technician - WC30,2008-10-03,1974-06-15,adventure-works\jan0,jan0@adventure-works.com,139-555-0131,S,Jan Miksovsky,139-555-0131,0,M,1,9.5,30,35,1,0,Production,2008-10-03,,Current
2008-10-03,,214,23,634335025,NULL,11,Brenda,Diaz,M,0,Production Supervisor - WC40,2008-10-03,1982-09-28,adventure-works\brenda0,brenda0@adventure-works.com,142-555-0139,M,Brenda Diaz,142-555-0139,0,F,2,25.0,71,55,1,0,Production,2008-10-03,,Current
2008-10-04,,215,126,65848458,NULL,11,Andrew,Cencini,M,0,Production Technician - WC45,2008-10-04,1988-04-24,adventure-works\andrew1,andrew1@adventure-works.com,207-555-0192,S,Andrew Cencini,207-555-0192,0,M,1,10.0,73,56,1,0,Production,2008-10-04,,Current
2008-10-04,,216,92,260805477,NULL,11,Chris,Norred,K,0,Control Specialist,2008-10-04,1986-12-24,adventure-works\chris1,chris1@adventure-works.com,575-555-0126,M,Chris Norred,575-555-0126,0,M,2,16.8269,75,57,1,0,Document Control,2008-10-04,,Current
2008-10-05,,217,18,442121106,NULL,11,Chris,Okelberry,O,0,Production Technician - WC60,2008-10-05,1986-03-07,adventure-works\chris2,chris2@adventure-works.com,315-555-0144,S,Chris Okelberry,315-555-0144,0,M,1,12.45,16,28,1,0,Production,2008-10-05,,Current
2008-10-05,,218,147,300946911,NULL,11,Shelley,Dyck,N,0,Production Technician - WC20,2008-10-05,1986-07-08,adventure-works\shelley0,shelley0@adventure-works.com,991-555-0184,S,Shelley Dyck,991-555-0184,0,F,1,14.0,14,27,1,0,Production,2008-10-05,,Current
2008-10-06,,219,214,440379437,NULL,11,Gabe,Mares,B,0,Production Technician - WC40,2008-10-06,1987-12-09,adventure-works\gabe0,gabe0@adventure-works.com,310-555-0117,M,Gabe Mares,310-555-0117,0,M,1,15.0,57,48,1,0,Production,2008-10-06,,Current
2008-10-06,,220,142,480951955,NULL,11,Mike,Seamans,K,0,Accountant,2008-10-06,1979-01-29,adventure-works\mike0,mike0@adventure-works.com,927-555-0150,S,Mike Seamans,927-555-0150,1,M,2,26.4423,59,49,1,0,Finance,2008-10-06,,Current
2008-12-01,,221,162,879342154,NULL,11,Michael,Raheem,NULL,0,Research and Development Manager,2008-12-01,1984-06-30,adventure-works\michael6,michael6@adventure-works.com,330-555-2568,M,Michael Raheem,330-555-2568,1,M,2,42.4808,16,64,1,0,Research and Development,2008-12-01,,Current
